case_id,group,model,n_outputs,correct_diagnosis_reference,mean_full_dialogue_char_len
2,Qwen_plus_turbo_1,qwen,10,Hirschsprung disease,6012.5
2,Qwen_plus_turbo_2,qwen,10,Hirschsprung disease,6636.9
2,deepseek_flash_1,flash,10,Hirschsprung disease,6597.2
2,deepseek_flash_2,flash,10,Hirschsprung disease,5674.4
2,deepseek_pro_1,pro,10,Hirschsprung disease,3680.7
2,deepseek_pro_2,pro,10,Hirschsprung disease,4255.4
2,gpt_5_4_mini_1,gpt_5_4_mini,10,Hirschsprung disease,3908.3
2,gpt_5_4_mini_2,gpt_5_4_mini,10,Hirschsprung disease,3654.9
2,gpt_5_5_1,gpt_5_5,10,Hirschsprung disease,5036.1
2,gpt_5_5_2,gpt_5_5,10,Hirschsprung disease,3764.5
5,Qwen_plus_turbo_1,qwen,10,Pes anserine bursitis,6223.6
5,Qwen_plus_turbo_2,qwen,10,Pes anserine bursitis,6902.8
5,deepseek_flash_1,flash,10,Pes anserine bursitis,5162.9
5,deepseek_flash_2,flash,10,Pes anserine bursitis,5242.8
5,deepseek_pro_1,pro,10,Pes anserine bursitis,4377.3
5,deepseek_pro_2,pro,10,Pes anserine bursitis,4800.7
5,gpt_5_4_mini_1,gpt_5_4_mini,10,Pes anserine bursitis,2024.4
5,gpt_5_4_mini_2,gpt_5_4_mini,10,Pes anserine bursitis,2138.4
5,gpt_5_5_1,gpt_5_5,10,Pes anserine bursitis,1617.4
5,gpt_5_5_2,gpt_5_5,10,Pes anserine bursitis,1639.0
15,Qwen_plus_turbo_1,qwen,10,Epidermoid cyst,7575.6
15,Qwen_plus_turbo_2,qwen,10,Epidermoid cyst,7344.8
15,deepseek_flash_1,flash,10,Epidermoid cyst,5911.0
15,deepseek_flash_2,flash,10,Epidermoid cyst,5522.8
15,deepseek_pro_1,pro,10,Epidermoid cyst,4583.2
15,deepseek_pro_2,pro,10,Epidermoid cyst,4567.5
15,gpt_5_4_mini_1,gpt_5_4_mini,10,Epidermoid cyst,3459.0
15,gpt_5_4_mini_2,gpt_5_4_mini,10,Epidermoid cyst,3077.3
15,gpt_5_5_1,gpt_5_5,10,Epidermoid cyst,2936.7
15,gpt_5_5_2,gpt_5_5,10,Epidermoid cyst,2573.6
18,Qwen_plus_turbo_1,qwen,10,Uterine rupture,4693.7
18,Qwen_plus_turbo_2,qwen,10,Uterine rupture,4207.4
18,deepseek_flash_1,flash,10,Uterine rupture,2168.7
18,deepseek_flash_2,flash,10,Uterine rupture,2487.5
18,deepseek_pro_1,pro,10,Uterine rupture,1953.6
18,deepseek_pro_2,pro,10,Uterine rupture,2323.9
18,gpt_5_4_mini_1,gpt_5_4_mini,10,Uterine rupture,1709.4
18,gpt_5_4_mini_2,gpt_5_4_mini,10,Uterine rupture,1922.0
18,gpt_5_5_1,gpt_5_5,10,Uterine rupture,1601.0
18,gpt_5_5_2,gpt_5_5,10,Uterine rupture,1499.6
23,Qwen_plus_turbo_1,qwen,10,Irritable Bowel Syndrome,7777.7
23,Qwen_plus_turbo_2,qwen,10,Irritable Bowel Syndrome,7371.5
23,deepseek_flash_1,flash,10,Irritable Bowel Syndrome,7514.3
23,deepseek_flash_2,flash,10,Irritable Bowel Syndrome,6924.4
23,deepseek_pro_1,pro,10,Irritable Bowel Syndrome,4896.8
23,deepseek_pro_2,pro,10,Irritable Bowel Syndrome,4340.8
23,gpt_5_4_mini_1,gpt_5_4_mini,10,Irritable Bowel Syndrome,2739.1
23,gpt_5_4_mini_2,gpt_5_4_mini,10,Irritable Bowel Syndrome,2789.1
23,gpt_5_5_1,gpt_5_5,10,Irritable Bowel Syndrome,2849.6
23,gpt_5_5_2,gpt_5_5,10,Irritable Bowel Syndrome,2732.7
24,Qwen_plus_turbo_1,qwen,10,Meigs syndrome,7166.1
24,Qwen_plus_turbo_2,qwen,10,Meigs syndrome,7649.6
24,deepseek_flash_1,flash,10,Meigs syndrome,4633.1
24,deepseek_flash_2,flash,10,Meigs syndrome,5085.1
24,deepseek_pro_1,pro,10,Meigs syndrome,3480.8
24,deepseek_pro_2,pro,10,Meigs syndrome,4071.1
24,gpt_5_4_mini_1,gpt_5_4_mini,10,Meigs syndrome,1727.4
24,gpt_5_4_mini_2,gpt_5_4_mini,10,Meigs syndrome,2040.8
24,gpt_5_5_1,gpt_5_5,10,Meigs syndrome,1867.4
24,gpt_5_5_2,gpt_5_5,10,Meigs syndrome,1686.8
25,Qwen_plus_turbo_1,qwen,10,Primary sclerosing cholangitis,7918.9
25,Qwen_plus_turbo_2,qwen,10,Primary sclerosing cholangitis,6245.6
